"address","address href","location","column","column 2","column 3","column 4","column 5","column 6"
"6749 Rockridge Ct","https://www.redfin.com/OH/Cleveland/6749-Rockridge-Ct-44130/home/71098865","Crystal Lake Ph 02","$204,900","2","1.5","1,152","$178",""
"6568 Lawnwood Ave","https://www.redfin.com/OH/Cleveland/6568-Lawnwood-Ave-44130/home/70898409","Guilberon","$249,900","3","2","1,064","$235",""
"16415 Heather Ln #103","https://www.redfin.com/OH/Middleburg-Heights/16415-Heather-Ln-44130/unit-103/home/169655288","Misty Lake Vlg/Mdws Ph Condos","$149,900","2","1","820","$183","4 days"
"16296 Parklawn Ave","https://www.redfin.com/OH/Cleveland/16296-Parklawn-Ave-44130/home/70858861","Briar-Cliff 06","$215,000","3","1","934","$230","3 days"
"6751 Oakwood Rd","https://www.redfin.com/OH/Cleveland/6751-Oakwood-Rd-44130/home/70899462","Pearl Pleasant","$249,900","3","1","1,516","$165","5 days"
"15496 Shaleside Ct","https://www.redfin.com/OH/Cleveland/15496-Shaleside-Ct-44130/home/63712109","Crystal Lake Ph 02","$224,900","2","1.5","1,276","$176","2 days"
"7256 Markal Dr","https://www.redfin.com/OH/Cleveland/7256-Markal-Dr-44130/home/70859008","Middleburg Sec 07","$315,000","4","2","1,740","$181","8 days"
"7181 York Rd","https://www.redfin.com/OH/Cleveland/7181-York-Rd-44130/home/70893700","Ely","$188,000","3","1.5","1,086","$173","8 days"
"10212 Vienna Dr","https://www.redfin.com/OH/Cleveland/10212-Vienna-Dr-44130/home/70894388","Parma","$289,900","3","2","1,689","$172","10 days"
"11541 Riverview Ct #15","https://www.redfin.com/OH/Cleveland/11541-Riverview-Ct-44130/unit-15/home/66198705","Riverview Villas Condo","$115,000","2","2","1,092","$105","22 days"
"6618 Newbury Ln","https://www.redfin.com/OH/Parma-Heights/6618-Newbury-Ln-44130/home/66272604","Yorktown","$272,500","4","1.5","1,526","$179","53 days"
"10404 N Church Dr #409","https://www.redfin.com/OH/Cleveland/10404-N-Church-Dr-44130/unit-409/home/70900067","Georgetown Arms Condo","$110,000","2","1","—","—","36 days"
"11183 Johnson Dr","https://www.redfin.com/OH/Cleveland/11183-Johnson-Dr-44130/home/70895465","Parma","$349,900","3","2","1,602","$218","115 days"
"11800 Brookpark Rd Unit G049","https://www.redfin.com/OH/Cleveland/11800-Brookpark-Rd-44130/unit-G049/home/199983042","Cleveland","$65,900","1","1","608","$108","50 days"
"11092 Naomi Dr","https://www.redfin.com/OH/Cleveland/11092-Naomi-Dr-44130/home/70876592","Sam H Miller Estate Sub","$240,000","3","2","1,088","$221","50 days"
"6728 Benedict Dr","https://www.redfin.com/OH/Middleburg-Heights/6728-Benedict-Dr-44130/home/195896463","Bank/Bereas Companys Propose","$399,900","3","2","1,660","$241","148 days"
